tick address bitflip_pos qt_err will_recode curr_ecc next_ecc block_pos data_write data_rec fixed
11758 390 0 0 False 1 -1 0 25594 63fa True
11784 1170 0 0 False 1 -1 0 24615 6027 True
11810 3929 0 0 False 1 -1 1 28374 6ed6 True
11836 4979 0 0 False 1 -1 2 37264 9190 True
11862 249 0 0 False 1 -1 0 56569 dcf9 True
11888 1349 0 0 False 1 -1 0 63716 f8e4 True
11914 3323 0 0 False 1 -1 1 12576 3120 True
11940 4185 0 0 False 1 -1 2 39206 9926 True
11966 3118 0 0 False 1 -1 1 15556 3cc4 True
11992 4424 0 0 False 1 -1 2 14695 3967 True
12018 4705 0 0 False 1 -1 2 55684 d984 True
12044 296 0 0 False 1 -1 0 56875 de2b True
12070 6835 0 0 False 1 -1 3 63146 f6aa True
12096 6557 0 0 False 1 -1 3 9614 258e True
12122 1079 0 0 False 1 -1 0 13401 3459 True
12148 1999 0 0 False 1 -1 0 48643 be03 True
12174 4008 0 0 False 1 -1 2 27065 69b9 True
12200 6891 0 0 False 1 -1 3 29683 73f3 True
12226 5723 0 0 False 1 -1 2 226 00e2 True
12252 1449 0 0 False 1 -1 0 40432 9df0 True
12278 6675 0 0 False 1 -1 3 13376 3440 True
12304 237 0 0 False 1 -1 0 19384 4bb8 True
12330 7136 0 0 False 1 -1 3 33974 84b6 True
12356 7913 0 0 False 1 -1 3 60117 ead5 True
12382 3145 0 0 False 1 -1 1 5849 16d9 True
12408 3868 0 0 False 1 -1 1 5078 13d6 True
12434 5442 0 0 False 1 -1 2 62434 f3e2 True
12460 4061 0 0 False 1 -1 2 50782 c65e True
12486 2395 0 0 False 1 -1 1 49678 c20e True
12512 3904 0 0 False 1 -1 1 19276 4b4c True
12538 2948 0 0 False 1 -1 1 4410 113a True
12564 2889 0 0 False 1 -1 1 34543 86ef True
12590 315 0 0 False 1 -1 0 7290 1c7a True
12616 7765 0 0 False 1 -1 3 60097 eac1 True
12642 1051 0 0 False 1 -1 0 2887 0b47 True
12668 5500 0 0 False 1 -1 2 27471 6b4f True
12694 626 0 0 False 1 -1 0 60779 ed6b True
12720 7134 0 0 False 1 -1 3 51935 cadf True
12746 3391 0 0 False 1 -1 1 55692 d98c True
12772 2730 0 0 False 1 -1 1 60752 ed50 True
12798 4986 0 0 False 1 -1 2 39942 9c06 True
12824 3166 0 0 False 1 -1 1 16645 4105 True
12850 127 0 0 False 1 -1 0 36448 8e60 True
12876 4 0 0 False 1 -1 0 30524 773c True
12902 4556 0 0 False 1 -1 2 4586 11ea True
12928 6824 0 0 False 1 -1 3 35435 8a6b True
12954 6810 0 0 False 1 -1 3 17572 44a4 True
12980 288 0 0 False 1 -1 0 3231 0c9f True
13006 4778 0 0 False 1 -1 2 57799 e1c7 True
13032 2544 0 0 False 1 -1 1 21097 5269 True
13058 1294 0 0 False 1 -1 0 22587 583b True
13084 769 0 0 False 1 -1 0 48646 be06 True
13110 1814 0 0 False 1 -1 0 20714 50ea True
13136 5220 0 0 False 1 -1 2 20016 4e30 True
13162 7912 0 0 False 1 -1 3 33746 83d2 True
13188 927 0 0 False 1 -1 0 48888 bef8 True
13214 435 0 0 False 1 -1 0 8685 21ed True
13240 7187 0 0 False 1 -1 3 56584 dd08 True
13266 2235 0 0 False 1 -1 1 14900 3a34 True
13292 4387 0 0 False 1 -1 2 1198 04ae True
13318 2448 0 0 False 1 -1 1 35685 8b65 True
